Country,HomesPerCapita,,,,,,,,,,,,,,
Croatia,604.46,,,,,,,,,,,,,,
Bulgaria,585.33,,,,,,,,,,,,,,
Portugal,579.39,,,,,,,,,,,,,,
France,548.51,,,,,,,,,,,,,,
Spain,547.82,,,,,,,,,,,,,,
Germany,518.01,,,,,,,,,,,,,,
Belgium,488.8,,,,,,,,,,,,,,
Norway,486.21,,,,,,,,,,,,,,
Czechia,479.72,,,,,,,,,,,,,,
Denmark,463.97,,,,,,,,,,,,,,
Hungary,462.59,,,,,,,,,,,,,,
Netherlands,457.26,,,,,,,,,,,,,,
Austria,445.1,,,,,,,,,,,,,,
Ireland,419.86,,,,,,,,,,,,,,
Slovakia,410.78,,,,,,,,,,,,,,
Slovenia,410.78,,,,,,,,,,,,,,
Poland,400.1,,,,,,,,,,,,,,
United Kingdom,354.83,,,,,,,,,,,,,,
